Associationtype,Boardname,Companyname,Directorname,Overlapyearstart,Overlapyearend,Role,Associatedrole,Conncompanyorgtype,Boardid,Companyid,Directorid,Roletitle,Roleboardposition,Roleedflag,Overlapyearstart_int,Overlapyearend_int,Startcompanydatestartrole,Startcompanydateendrole,Conncompanydatestartrole,Conncompanydateendrole,Orgtype
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Institute for Sports Medicine Research,Eric Gleacher,2010,2010,Chairman/CEO (Brd) (ED),Chairman,Universities,12,1680522,71107,Chairman/CEO,Brd,ED,2010,2010,2010-02-21,2010-10-27,,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Gleacher Partners LLC,Eric Gleacher,2009,2010,Independent Chairman (Brd) (SD),Chairman (Brd) (ED),Private,12,533198,71107,Independent Chairman,Brd,SD,2009,2010,2009-06-16,2010-02-21,1990-01-01,2010-01-01,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),University of St Andrews,Eric Gleacher,2012,2013,Chairman (Executive) (Brd) (ED),Chairman,Universities,12,127602,71107,Chairman,Executive,ED,2012,2013,,,,,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Institute for Sports Medicine Research,Eric Gleacher,2010,2013,Chairman (Executive) (Brd) (ED),Chairman,Universities,12,1680522,71107,Chairman,Executive,ED,2010,2013,,,,,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),State University of New York at Binghamton,Rob Turner,2008,2010,CFO (Non-Brd),Member,Universities,12,91092,180640,CFO,Non-Brd,,2008,2010,2008-03-31,2010-03-31,,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Downing-Frye Realty Inc,Rob Turner,2008,2008,CFO (Non-Brd),Associate (Non-Brd),Private,12,2176359,180640,CFO,Non-Brd,,2008,2008,2008-03-31,2010-03-31,2006-01-01,2008-01-01,Quoted
NFP,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),York University Foundation,Mickey Cohen,2012,2014,Independent Director (Brd) (SD),Director - SD,Charities,12,807739,8066,Independent Director,Brd,SD,2012,2014,2009-07-02,2014-07-28,,,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Canadian Bar Association (CBA) (The),Mickey Cohen,2010,2014,Independent Director (Brd) (SD),Member,Private,12,78026,8066,Independent Director,Brd,SD,2010,2014,2009-07-02,2014-07-28,,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Schulich School of Business York University,Mickey Cohen,2010,2014,Independent Director (Brd) (SD),Executive-in-Residence (Non-Brd),Universities,12,622327,8066,Independent Director,Brd,SD,2010,2014,2009-07-02,2014-07-28,,,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),York University (Canada),Mickey Cohen,2009,2014,Independent Director (Brd) (SD),Honorary Governor,Universities,12,64608,8066,Independent Director,Brd,SD,2009,2014,2009-07-02,2014-07-28,,,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),York University Development Corp (YUDC),Mickey Cohen,2012,2014,Independent Director (Brd) (SD),Chair,Private,12,807730,8066,Independent Director,Brd,SD,2012,2014,2009-07-02,2014-07-28,,,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Ontario Bar Association,Mickey Cohen,2009,2014,Independent Director (Brd) (SD),Member,Private,12,813349,8066,Independent Director,Brd,SD,2009,2014,2009-07-02,2014-07-28,,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),TRIMAS CORP,Mickey Cohen,2009,2014,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,12,59475,8066,Independent Director,Brd,SD,2009,2014,2009-07-02,2014-07-28,2005-01-01,2016-05-12,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Hennick Centre for Business and Law,Mickey Cohen,2012,2014,Independent Director (Brd) (SD),Council Chairman,Private,12,2009115,8066,Independent Director,Brd,SD,2012,2014,2009-07-02,2014-07-28,,,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),BARRICK GOLD CORP,Mickey Cohen,2009,2011,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,12,3618,8066,Independent Director,Brd,SD,2009,2011,2009-07-02,2014-07-28,1988-09-08,2011-04-27,Quoted
Listed Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),TD AMERITRADE HOLDING CORP (Ameritrade Hldg Co prior to 01/2006) (De-listed 10/2020),Mickey Cohen,2009,2014,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,12,2048,8066,Independent Director,Brd,SD,2009,2014,2009-07-02,2014-07-28,2006-01-19,2015-11-20,Quoted
Other,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),CD Howe Institute,Mickey Cohen,2012,2014,Independent Director (Brd) (SD),Council Member,Private,12,590643,8066,Independent Director,Brd,SD,2012,2014,2009-07-02,2014-07-28,,,Quoted
NFP,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Rumie Initiative (The),Mickey Cohen,2012,2014,Independent Director (Brd) (SD),Director - SD,Charities,12,2333913,8066,Independent Director,Brd,SD,2012,2014,2009-07-02,2014-07-28,,,Quoted
Unlisted Org,GLEACHER & COMPANY INC (Broadpoint Gleacher Securities Group Inc prior to 05/2010) (De-listed 07/2014),Lazard Inc,Craig Warznak,2007,2007,Analyst (Non-Brd),Senior Analyst (Non-Brd),Private,12,1619113,2195855,Analyst,Non-Brd,,2007,2007,2006-01-01,2007-01-01,2007-01-01,2007-01-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),Aerospace Products International (API) Inc,Bill Reznicek,2007,2007,VP/CFO (Non-Brd),CFO (Non-Brd),Private,26,663623,514534,VP/CFO,Non-Brd,,2007,2007,2007-01-22,2007-07-26,2007-01-22,2007-10-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),Aerospace Products International (API) Inc,Bobbie Espitia,2007,2007,Executive Officer (Non-Brd),Vice President - Materials (Non-Brd),Private,26,663623,544197,Executive Officer,Non-Brd,,2007,2007,2007-01-22,2007-07-26,2007-01-22,2011-03-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),Aerospace Products International (API) Inc,Bobbie Espitia,2006,2007,Principal Accounting Officer (Non-Brd),Vice President (Non-Brd),Private,26,663623,544197,Principal Accounting Officer,Non-Brd,,2006,2007,2006-12-13,2007-01-22,2006-05-01,2007-01-22,Quoted
Listed Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),INTEVAC INC,Stanley Hill,2004,2007,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,26,16477,338835,Independent Director,Brd,SD,2004,2007,2000-12-12,2007-07-26,2004-03-08,2015-06-04,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),Skip Barber Racing School LLC,Aaron Hollander,2005,2006,Chairman (Brd) (ED),President/CEO (Brd) (ED),Private,26,630452,373892,Chairman,Brd,ED,2005,2006,1995-03-01,2005-06-01,2001-12-01,2009-07-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),National Airmotive Corp,Michael Culver,1996,1997,President/CEO (Brd) (ED),Chairman (Brd) (SD),Private,26,730643,373894,President/CEO,Brd,ED,1996,1997,1995-03-01,2006-10-12,1996-08-01,1997-06-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),First Equity Group Inc,Michael Culver,2007,2007,Director - SD (Brd) (SD),Co-Founder (Non-Brd),Private,26,730626,373894,Director - SD,Brd,SD,2007,2007,2007-05-01,2007-07-26,1985-01-01,2009-01-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),First Equity Group Inc,Michael Culver,2006,2007,Vice Chairman (Brd) (ED),Co-Founder (Non-Brd),Private,26,730626,373894,Vice Chairman,Brd,ED,2006,2007,2006-10-12,2007-05-01,1985-01-01,2009-01-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),Aerospace Products International (API) Inc,Michael Culver,2006,2006,President/CEO (Brd) (ED),Owner (Non-Brd),Private,26,663623,373894,President/CEO,Brd,ED,2006,2006,1995-03-01,2006-10-12,2006-01-01,,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),National Airmotive Corp,Michael Culver,1995,1996,President/CEO (Brd) (ED),Director - SD (Brd) (SD),Private,26,730643,373894,President/CEO,Brd,ED,1995,1996,1995-03-01,2006-10-12,1995-06-01,1996-08-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),Aerospace Products International (API) Inc,Mike Davidson,2002,2003,VP/CFO/Secretary (Non-Brd),Acting CFO (Non-Brd),Private,26,663623,371708,VP/CFO/Secretary,Non-Brd,,2002,2003,2002-04-05,2004-04-01,2002-04-01,2003-11-01,Quoted
Listed Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),BAE SYSTEMS PLC (British Aerospace prior to 05/2000),Bob Kirk,1997,1998,Independent Director (Brd) (SD),NED (Brd) (SD),Quoted,26,3395,373897,Independent Director,Brd,SD,1997,1998,1997-03-01,2007-07-26,1992-01-01,1998-01-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),ImTek Inc,Aaron Hollander,2005,2006,Chairman (Brd) (ED),Chairman/CEO (Brd) (ED),Private,26,730639,373892,Chairman,Brd,ED,2005,2006,1995-03-01,2005-06-01,1993-01-01,2012-02-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),Rainbow Media Enterprises Inc,Joe Lhota,2004,2005,Independent Director (Brd) (SD),Executive VP/Co-CFO (Non-Brd),Private,26,662963,373899,Independent Director,Brd,SD,2004,2005,2002-04-02,2007-07-26,2004-10-20,,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),First Equity Development Inc,Michael Culver,2007,2007,Director - SD (Brd) (SD),Co-Founder (Non-Brd),Private,26,1634289,373894,Director - SD,Brd,SD,2007,2007,2007-05-01,2007-07-26,1985-01-01,2009-01-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),Aerospace Products International (API) Inc,Michael Culver,2007,2007,Director - SD (Brd) (SD),Owner (Non-Brd),Private,26,663623,373894,Director - SD,Brd,SD,2007,2007,2007-05-01,2007-07-26,2006-01-01,,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),Skip Barber Racing School LLC,Aaron Hollander,2005,2006,Chairman (Brd) (ED),President/CEO (Brd) (ED),Private,26,630452,373892,Chairman,Brd,ED,2005,2006,2005-06-01,2006-10-12,2001-12-01,2009-07-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),National Airmotive Corp,Aaron Hollander,1995,1996,Chairman (Brd) (SD),Director - SD (Brd) (SD),Private,26,730643,373892,Chairman,Brd,SD,1995,1996,1995-03-01,2005-06-01,1995-06-01,,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),National Airmotive Corp,Michael Culver,1997,1999,President/CEO (Brd) (ED),CEO (Brd) (ED),Private,26,730643,373894,President/CEO,Brd,ED,1997,1999,1995-03-01,2006-10-12,1997-06-01,1999-11-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),Access Ambulance Company Inc,Mike Davidson,1998,1998,Controller (Non-Brd),Chairman (Brd) (SD),Private,26,663624,371708,Controller,Non-Brd,,1998,1998,1998-01-01,2001-10-01,1996-01-01,1998-01-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),Skip Barber Racing School LLC,Aaron Hollander,2001,2005,Chairman (Brd) (SD),President/CEO (Brd) (ED),Private,26,630452,373892,Chairman,Brd,SD,2001,2005,2005-06-01,2006-10-12,2001-12-01,2009-07-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),Skip Barber Racing School LLC,Aaron Hollander,2001,2005,Chairman (Brd) (SD),President/CEO (Brd) (ED),Private,26,630452,373892,Chairman,Brd,SD,2001,2005,1995-03-01,2005-06-01,2001-12-01,2009-07-01,Quoted
Education,ALFA CORP (De-listed 04/2008),Thomas Goode Jones School of Law,Carol Golsan,1995,1996,,,Universities,1357,813699,484828,,,,1995,1996,,,,,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),Bridge Associates LLC,Michael Culver,2007,2007,Director - SD (Brd) (SD),Senior Consultant (Non-Brd),Private,26,108597,373894,Director - SD,Brd,SD,2007,2007,2007-05-01,2007-07-26,2007-01-01,2007-01-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),First Equity Development Inc,Michael Culver,1995,2006,President/CEO (Brd) (ED),Co-Founder (Non-Brd),Private,26,1634289,373894,President/CEO,Brd,ED,1995,2006,1995-03-01,2006-10-12,1985-01-01,2009-01-01,Quoted
Listed Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),CABLEVISION SYSTEMS CORP (De-listed 06/2016),Joe Lhota,2002,2004,Independent Director (Brd) (SD),Executive VP/Division President (Non-Brd),Quoted,26,5460,373899,Independent Director,Brd,SD,2002,2004,2002-04-02,2007-07-26,2002-01-01,2004-10-20,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),National Airmotive Corp,Aaron Hollander,1995,1996,Chairman (Brd) (SD),Director - SD (Brd) (SD),Private,26,730643,373892,Chairman,Brd,SD,1995,1996,2005-06-01,2006-10-12,1995-06-01,,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),First Equity Group Inc,Aaron Hollander,1995,2005,Chairman (Brd) (SD),Division Chairman/CEO (Brd) (ED),Private,26,730626,373892,Chairman,Brd,SD,1995,2005,1995-03-01,2005-06-01,1985-01-01,,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),First Equity Group Inc,Michael Culver,1995,2006,President/CEO (Brd) (ED),Co-Founder (Non-Brd),Private,26,730626,373894,President/CEO,Brd,ED,1995,2006,1995-03-01,2006-10-12,1985-01-01,2009-01-01,Quoted
Other,FIRST AVIATION SERVICES INC (De-listed 07/2007),New York State Bar Association (NYSBA),Robert Costantini,2003,2006,Senior VP/CFO/Secretary (Non-Brd),Member,Private,26,256477,373903,Senior VP/CFO/Secretary,Non-Brd,,2003,2006,2003-10-27,2006-09-30,,,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),ImTek Inc,Aaron Hollander,2005,2006,Chairman (Brd) (ED),Chairman/CEO (Brd) (ED),Private,26,730639,373892,Chairman,Brd,ED,2005,2006,2005-06-01,2006-10-12,1993-01-01,2012-02-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),Aerospace Products International (API) Inc,Paul Fanelli,2004,2004,Executive Officer (Non-Brd),Senior VP/COO (Non-Brd),Private,26,663623,373919,Executive Officer,Non-Brd,,2004,2004,2004-02-16,2007-01-05,2004-02-16,2004-04-05,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),Aerospace Products International (API) Inc,Aaron Hollander,2007,2007,Chairman/CEO (Brd) (ED),Interim President/CEO (Brd) (ED),Private,26,663623,373892,Chairman/CEO,Brd,ED,2007,2007,2006-10-12,2007-07-26,2007-01-04,2009-01-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),First Equity Group Inc,Aaron Hollander,1995,2005,Chairman (Brd) (SD),Division Chairman/CEO (Brd) (ED),Private,26,730626,373892,Chairman,Brd,SD,1995,2005,2005-06-01,2006-10-12,1985-01-01,,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),First Equity Group Inc,Aaron Hollander,2005,2006,Chairman (Brd) (ED),Division Chairman/CEO (Brd) (ED),Private,26,730626,373892,Chairman,Brd,ED,2005,2006,2005-06-01,2006-10-12,1985-01-01,,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),ImTek Inc,Aaron Hollander,1995,2005,Chairman (Brd) (SD),Chairman/CEO (Brd) (ED),Private,26,730639,373892,Chairman,Brd,SD,1995,2005,1995-03-01,2005-06-01,1993-01-01,2012-02-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),British Aerospace Holdings Inc,Bob Kirk,1997,1998,Independent Director (Brd) (SD),Chairman (Brd) (SD),Private,26,537435,373897,Independent Director,Brd,SD,1997,1998,1997-03-01,2007-07-26,1992-01-01,1998-01-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),Aerospace Products International (API) Inc,Paul Fanelli,2004,2007,Executive Officer (Non-Brd),President/CEO (Brd) (ED),Private,26,663623,373919,Executive Officer,Non-Brd,,2004,2007,2004-02-16,2007-01-05,2004-04-05,2007-01-04,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),Skip Barber Racing School LLC,Aaron Hollander,2006,2007,Chairman/CEO (Brd) (ED),President/CEO (Brd) (ED),Private,26,630452,373892,Chairman/CEO,Brd,ED,2006,2007,2006-10-12,2007-07-26,2001-12-01,2009-07-01,Quoted
Listed Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),ENVIRI CORPORATION (Harsco Corp prior to 06/2023),Bob Kirk,1997,1999,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Quoted,26,14365,373897,Independent Director,Brd,SD,1997,1999,1997-03-01,2007-07-26,1990-01-01,1999-01-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),ImTek Inc,Aaron Hollander,2006,2007,Chairman/CEO (Brd) (ED),Chairman/CEO (Brd) (ED),Private,26,730639,373892,Chairman/CEO,Brd,ED,2006,2007,2006-10-12,2007-07-26,1993-01-01,2012-02-01,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),First Equity Group Inc,Aaron Hollander,2006,2007,Chairman/CEO (Brd) (ED),Division Chairman/CEO (Brd) (ED),Private,26,730626,373892,Chairman/CEO,Brd,ED,2006,2007,2006-10-12,2007-07-26,1985-01-01,,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),Aerospace Products International (API) Inc,Michael Culver,2006,2007,Vice Chairman (Brd) (ED),Owner (Non-Brd),Private,26,663623,373894,Vice Chairman,Brd,ED,2006,2007,2006-10-12,2007-05-01,2006-01-01,,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),Aerospace Products International (API) Inc,Michael Culver,1995,2006,President/CEO (Brd) (ED),Chairman (Brd) (SD),Private,26,663623,373894,President/CEO,Brd,ED,1995,2006,1995-03-01,2006-10-12,1995-01-01,2006-01-01,Quoted
Other,FIRST AVIATION SERVICES INC (De-listed 07/2007),City University of New York (CUNY),Joe Lhota,2002,2007,Independent Director (Brd) (SD),Trustee,Universities,26,60372,373899,Independent Director,Brd,SD,2002,2007,2002-04-02,2007-07-26,,,Quoted
Unlisted Org,FIRST AVIATION SERVICES INC (De-listed 07/2007),First Equity Group Inc,Aaron Hollander,2005,2006,Chairman (Brd) (ED),Division Chairman/CEO (Brd) (ED),Private,26,730626,373892,Chairman,Brd,ED,2005,2006,1995-03-01,2005-06-01,1985-01-01,,Quoted
Other,FIRST AVIATION SERVICES INC (De-listed 07/2007),Connecticut Bar Association (CBA),Robert Costantini,2003,2006,Senior VP/CFO/Secretary (Non-Brd),Member,Private,26,54901,373903,Senior VP/CFO/Secretary,Non-Brd,,2003,2006,2003-10-27,2006-09-30,,,Quoted
Unlisted Org,FIRST BANCORP NC,Carson Medlin Co (The),Peter Seitz,2022,Curr,Executive VP/Corporate Secretary (Non-Brd),Executive (Non-Brd),Private,28,1632029,347222,Executive VP/Corporate Secretary,Non-Brd,,2022,,2022-01-01,,2005-06-01,,Quoted
Listed Org,FIRST BANCORP NC,UNIFI INC,George Perkins Jr,2007,2014,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,28,31723,335990,Independent Director,Brd,SD,2007,2014,2007-05-02,2015-05-07,2007-08-08,2014-10-22,Quoted
Unlisted Org,FIRST BANCORP NC,Perkins Investments LLC,George Perkins Jr,2012,2015,Independent Director (Brd) (SD),Chairman/CEO (Brd) (ED),Private,28,1814856,335990,Independent Director,Brd,SD,2012,2015,1996-01-01,2004-04-29,,,Quoted
Unlisted Org,FIRST BANCORP NC,Frontier Spinning Mills Inc,George Perkins Jr,2007,2009,Independent Director (Brd) (SD),Chairman/CEO (Brd) (ED),Private,28,606920,335990,Independent Director,Brd,SD,2007,2009,1996-01-01,2004-04-29,1996-01-01,2009-01-01,Quoted
Other,FIRST BANCORP NC,Sandhills Area Chamber of Commerce,Ginny Thomasson,2014,2024,Independent Director (Brd) (SD),Member,Private,28,1375293,336002,Independent Director,Brd,SD,2014,2024,2000-09-14,2024-05-02,,,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank Missouri,Teresa Nixon,2005,2012,Executive VP (Non-Brd),Executive VP/Chief Lending Officer (Non-Brd),Private,28,606623,336008,Executive VP,Non-Brd,,2005,2012,1996-01-01,2012-03-30,2005-01-01,2012-03-30,Quoted
Other,FIRST BANCORP NC,Emmanuel Episcopal Church,Ginny Thomasson,2014,2024,Independent Director (Brd) (SD),Member,Clubs,28,486588,336002,Independent Director,Brd,SD,2014,2024,2000-09-14,2024-05-02,,,Quoted
Unlisted Org,FIRST BANCORP NC,Moore County Chamber of Commerce,Tommy Phillips,2006,2009,Independent Director (Brd) (SD),Vice Chairman - Finance (Brd) (ED),Private,28,1571910,335993,Independent Director,Brd,SD,2006,2009,2013-02-06,2021-05-06,2006-01-01,2009-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,Longleaf Truss Co,Fred Taylor II,2014,Curr,Independent Director (Brd) (SD),Vice President (Non-Brd),Private,28,2171582,336027,Independent Director,Brd,SD,2014,,2005-05-05,,,,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Anna Hollers,1994,2005,Executive VP/Secretary (Non-Brd),Executive VP/Secretary (Non-Brd),Private,28,1560181,336007,Executive VP/Secretary,Non-Brd,,1994,2005,1994-01-01,2005-09-27,1994-01-01,2005-09-27,Quoted
Unlisted Org,FIRST BANCORP NC,Fletcher Industries Inc,Ted Taws Jr,1986,2000,Independent Director (Brd) (SD),President (Brd) (ED),Private,28,606985,335996,Independent Director,Brd,SD,1986,2000,1986-01-01,2007-05-02,1959-01-01,2000-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,Frontier Spinning Mills Inc,George Perkins Jr,2007,2009,Independent Director (Brd) (SD),Chairman/CEO (Brd) (ED),Private,28,606920,335990,Independent Director,Brd,SD,2007,2009,2007-05-02,2015-05-07,1996-01-01,2009-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Walt Brown,2013,2015,Executive VP (Non-Brd),Executive VP (Non-Brd),Private,28,1560181,335975,Executive VP,Non-Brd,,2013,2015,2013-05-09,2015-01-01,2003-04-24,2013-05-09,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Walt Brown,2003,2013,Executive VP (Brd) (ED),Executive VP (Brd) (ED),Private,28,1560181,335975,Executive VP,Brd,ED,2003,2013,2013-05-09,2015-01-01,2003-04-24,2013-05-09,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Walt Brown,2013,2015,Executive VP (Non-Brd),Executive VP (Non-Brd),Private,28,1560181,335975,Executive VP,Non-Brd,,2013,2015,2003-04-24,2013-05-09,2003-04-24,2013-05-09,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Lee McLaurin,1987,2001,VP/Controller (Non-Brd),VP/Controller (Non-Brd),Private,28,1560181,336024,VP/Controller,Non-Brd,,1987,2001,1987-01-01,2001-01-01,1987-01-01,2001-01-01,Quoted
Other,FIRST BANCORP NC,Kiwanis Club of the Sandhills,Ginny Thomasson,2014,2024,Independent Director (Brd) (SD),Member,Clubs,28,2049508,336002,Independent Director,Brd,SD,2014,2024,2000-09-14,2024-05-02,,,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Eric Credle,1997,2008,Senior VP/CFO (Non-Brd),Senior VP/CFO (Non-Brd),Private,28,1560181,336012,Senior VP/CFO,Non-Brd,,1997,2008,1997-01-01,2008-03-25,1997-01-01,2008-03-25,Quoted
Unlisted Org,FIRST BANCORP NC,Frontier Spinning Mills Inc,George Perkins Jr,1996,2004,Independent Director (Brd) (SD),Chairman/CEO (Brd) (ED),Private,28,606920,335990,Independent Director,Brd,SD,1996,2004,2007-05-02,2015-05-07,1996-01-01,2009-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,Briggs Funeral Home,Jack Briggs,1996,2001,Chairman (Brd) (SD),President (Non-Brd),Private,28,1798808,335970,Chairman,Brd,SD,1996,2001,1996-01-01,2001-05-01,1980-01-01,,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Walt Brown,2003,2013,Executive VP (Brd) (ED),Executive VP (Brd) (ED),Private,28,1560181,335975,Executive VP,Brd,ED,2003,2013,2003-04-24,2013-05-09,2003-04-24,2013-05-09,Quoted
Other,FIRST BANCORP NC,Montgomery Community College,Anna Hollers,2009,2014,Executive VP/COO/Secretary (Non-Brd),Trustee,Universities,28,941370,336007,Executive VP/COO/Secretary,Non-Brd,,2009,2014,2005-09-27,2014-03-31,,,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank Insurance Services Inc,Fred Taylor II,2010,2013,Independent Director (Brd) (SD),Chairman (Brd) (SD),Private,28,870538,336027,Independent Director,Brd,SD,2010,2013,2005-05-05,,,2013-02-06,Quoted
Unlisted Org,FIRST BANCORP NC,Moore County Chamber of Commerce,Tommy Phillips,2009,2012,Independent Chairman (Brd) (SD),Treasurer (Brd) (SD),Private,28,1571910,335993,Independent Chairman,Brd,SD,2009,2012,2009-01-01,2013-02-06,2009-01-01,2012-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,John Burns Jr,2013,2014,Executive VP (Non-Brd),Executive VP (Non-Brd),Private,28,1560181,335983,Executive VP,Non-Brd,,2013,2014,2013-05-09,2014-01-01,2013-05-09,2014-01-01,Quoted
NFP,FIRST BANCORP NC,Arts Council of Moore County (ACMC),Ginny Thomasson,2014,2024,Independent Director (Brd) (SD),Member,Charities,28,1944183,336002,Independent Director,Brd,SD,2014,2024,2000-09-14,2024-05-02,,,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,John Burns Jr,2000,2013,Executive VP (Brd) (ED),Executive VP (Brd) (ED),Private,28,1560181,335983,Executive VP,Brd,ED,2000,2013,2013-05-09,2014-01-01,2000-09-14,2013-05-09,Quoted
